testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_z88_to_json,1,False,True,0.013523000001441687,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_z88_to_json,2,False,True,0.013716600020416081,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_z88_to_json,3,False,True,0.012722800020128489,5,1
#11/academic_rotor.cdb,#11,ansys,z88,roundtrip,rt_z88_to_json,4,False,True,0.012340999965090305,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_src_to_z88,0,True,False,0.017763499985449016,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_src_to_z88,1,False,True,0.011235199985094368,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_src_to_z88,2,False,True,0.012073800025973469,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_src_to_z88,3,False,True,0.011539200029801577,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_src_to_z88,4,False,True,0.01109280000673607,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_z88_to_json,0,True,False,0.010733900009654462,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_z88_to_json,1,False,True,0.00918880000244826,5,1
#12/HexBeam.cdb,#12,ansys,REF,ref,ref_z88_to_json,2,False,True,0.00899629999184981,5,1
